
Quadro extraído em 29 de Junho de 2026 (13:39:28)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013) (1) ;Produtores agrícolas singulares (N.º) por Localização geográfica (NUTS - 2013), Sexo, Grupo etário e Natureza jurídica -  Decenal (2) ;;;
;184020603: Entradas;47;36;11;
;184020604: Santa Bárbara de Padrões;46;38;8;
;184020605: São Marcos da Ataboeira;32;23;9;
;184020606: União das freguesias de Castro Verde e Casével;201;149;52;
;184020701: Cuba;132;93;39;
;184020702: Faro do Alentejo;27;20;7;
;184020703: Vila Alva;107;75;32;
;184020704: Vila Ruiva;67;53;14;
;184020803: Figueira dos Cavaleiros;75;56;19;
;184020804: Odivelas;32;24;8;
;184020807: União das freguesias de Alfundão e Peroguarda;81;53;28;
;184020808: União das freguesias de Ferreira do Alentejo e Canhestros;329;243;86;
;184020901: Alcaria Ruiva;124;89;35;
;184020902: Corte do Pinto;49;44;5;
;184020903: Espírito Santo;86;52;34;
;184020904: Mértola;176;115;61;
;184020905: Santana de Cambas;109;77;32;
;184020906: São João dos Caldeireiros;50;30;20;
;184020910: União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;176;113;63;
;184021001: Amareleja;324;225;99;
;184021002: Póvoa de São Miguel;253;182;71;
;184021008: Sobral da Adiça;193;134;59;
;184021009: União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;430;292;138;
;184021010: União das freguesias de Safara e Santo Aleixo da Restauração;234;169;65;
;184021203: Ourique;202;153;49;
;184021206: Santana da Serra;214;138;76;
;184021207: União das freguesias de Garvão e Santa Luzia;80;64;16;
;184021208: União das freguesias de Panoias e Conceição;77;63;14;
;184021302: Brinches;182;127;55;
;184021303: Pias;348;261;87;
;184021308: União das freguesias de Serpa (Salvador e Santa Maria);399;299;100;
;184021309: União das freguesias de Vila Nova de São Bento e Vale de Vargo;554;368;186;
;184021307: Vila Verde de Ficalho;254;193;61;
;184021401: Pedrógão;90;64;26;
;184021402: Selmes;107;64;43;
;184021403: Vidigueira;147;100;47;
;184021404: Vila de Frades;121;88;33;
;185140301: Almeirim;201;165;36;
;185140302: Benfica do Ribatejo;185;139;46;
;185140303: Fazendas de Almeirim;281;214;67;
;185140304: Raposa;14;13;1;
;185140401: Alpiarça;234;181;53;
;185110301: Alcoentre;105;88;17;
;185110302: Aveiras de Baixo;34;27;7;
;185110303: Aveiras de Cima;200;168;32;
;185110304: Azambuja;99;87;12;
;185110310: União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;146;118;28;
;185110306: Vale do Paraíso;20;17;3;
;185110307: Vila Nova da Rainha;8;7;1;
;185140504: Barrosa;14;11;3;
;185140501: Benavente;142;101;41;
;185140502: Samora Correia;83;63;20;
;185140503: Santo Estêvão;36;30;6;
;185140604: Pontével;111;91;20;
;185140610: União das freguesias de Ereira e Lapa;90;70;20;
;185140609: União das freguesias do Cartaxo e Vale da Pinta;64;50;14;
;185140605: Valada;34;28;6;
;185140608: Vale da Pedra;19;16;3;
;185140607: Vila Chã de Ourique;79;59;20;
;185140707: Carregueira;51;31;20;
;185140704: Ulme;36;30;6;
;185140708: União das freguesias da Chamusca e Pinheiro Grande;83;59;24;
;185140709: União das freguesias de Parreira e Chouto;110;78;32;
;185140705: Vale de Cavalos;46;37;9;
;185140907: Biscainho;35;25;10;
;185140905: Branca;143;108;35;
;185140902: Couço;108;79;29;
;185140908: Santana do Mato;78;48;30;
;185140903: São José da Lamarosa;175;118;57;
;185140909: União das freguesias de Coruche, Fajarda e Erra;274;201;73;
;185141201: Azinhaga;56;39;17;
;185141202: Golegã;78;59;19;
;185141203: Pombalinho;9;8;1;
;185141401: Alcobertas;119;89;30;
;185141402: Arrouquelas;44;39;5;
;185141410: Asseiceira;29;20;9;
;185141405: Fráguas;72;46;26;
;185141408: Rio Maior;175;144;31;
;185141411: São Sebastião;66;57;9;
;185141415: União das freguesias de Azambujeira e Malaqueijo;76;46;30;
;185141416: União das freguesias de Marmeleira e Assentiz;61;48;13;
;185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;77;62;15;
;185141418: União das freguesias de São João da Ribeira e Ribeira de São João;70;56;14;
;185141502: Marinhais;98;76;22;
;185141503: Muge;24;20;4;
;185141507: União das freguesias de Glória do Ribatejo e Granho;121;101;20;
;185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;177;119;58;
;185141601: Abitureiras;121;100;21;
;185141602: Abrã;79;63;16;
;185141604: Alcanede;369;275;94;
;185141605: Alcanhões;43;37;6;
;185141606: Almoster;180;129;51;
;185141607: Amiais de Baixo;14;11;3;
;185141608: Arneiro das Milhariças;72;57;15;
;185141628: Gançaria;37;31;6;
;185141613: Moçarria;120;92;28;
;185141614: Pernes;53;36;17;
;185141616: Póvoa da Isenta;73;57;16;
;185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;250;181;69;
;185141630: União das freguesias de Azoia de Cima e Tremês;222;160;62;
;185141631: União das freguesias de Casével e Vaqueiros;178;125;53;
;185141632: União das freguesias de Romeira e Várzea;182;135;47;
;185141633: União de freguesias da cidade de Santarém;150;122;28;
;185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;244;158;86;
;185141625: Vale de Santarém;77;56;21;
;186120101: Alter do Chão;100;80;20;
;186120102: Chancelaria;53;39;14;
;186120104: Cunheira;16;12;4;
;186120103: Seda;52;34;18;
;186120201: Assunção;114;81;33;
;186120202: Esperança;132;81;51;
;186120203: Mosteiros;47;34;13;
;186120302: Aldeia Velha;65;43;22;
;186120303: Avis;65;48;17;
;186120305: Ervedal;44;27;17;
;186120306: Figueira e Barros;34;28;6;
;186120309: União das freguesias de Alcórrego e Maranhão;46;33;13;
;186120310: União das freguesias de Benavila e Valongo;76;57;19;
;186120401: Nossa Senhora da Expectação;239;182;57;
;186120402: Nossa Senhora da Graça dos Degolados;20;13;7;
;186120403: São João Baptista;188;140;48;
;186120501: Nossa Senhora da Graça de Póvoa e Meadas;58;47;11;
;186120502: Santa Maria da Devesa;128;91;37;
;186120503: Santiago Maior;83;65;18;
;186120504: São João Baptista;62;47;15;
;186120601: Aldeia da Mata;49;29;20;
;186120604: Gáfete;75;50;25;
;186120605: Monte da Pedra;52;40;12;
;186120607: União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;139;107;32;
;186120712: Assunção, Ajuda, Salvador e Santo Ildefonso;104;80;24;
;186120713: Caia, São Pedro e Alcáçova;117;87;30;
;186120706: Santa Eulália;34;24;10;
;186120707: São Brás e São Lourenço;142;94;48;
;186120708: São Vicente e Ventosa;32;17;15;
;186120714: União das freguesias de Barbacena e Vila Fernando;69;43;26;
;186120715: União das freguesias de Terrugem e Vila Boim;146;113;33;
;186120801: Cabeço de Vide;68;56;12;
;186120802: Fronteira;135;95;40;
;186120803: São Saturnino;31;19;12;
;186120902: Belver;213;166;47;
;186120903: Comenda;62;43;19;
;186120905: Margem;71;50;21;
;186120906: União das freguesias de Gavião e Atalaia;105;63;42;
;186121001: Beirã;85;59;26;
;186121002: Santa Maria de Marvão;112;76;36;
;186121003: Santo António das Areias;91;66;25;
;186121004: São Salvador da Aramenha;187;141;46;
;186121101: Assumar;13;11;2;
;186121102: Monforte;79;56;23;
;186121103: Santo Aleixo;36;29;7;
;186121104: Vaiamonte;47;37;10;
;186121201: Alpalhão;85;59;26;
;186121205: Montalvão;128;88;40;
;186121207: Santana;85;63;22;
;186121208: São Matias;71;52;19;
;186121210: Tolosa;135;86;49;
;186121211: União das freguesias de Arez e Amieira do Tejo;148;110;38;
;186121212: União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;349;232;117;
;186121304: Foros de Arrão;54;33;21;
;186121301: Galveias;142;98;44;
;186121305: Longomel;84;57;27;
;186121302: Montargil;250;165;85;
;186121308: União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;523;372;151;
;186121401: Alagoa;45;29;16;
;186121402: Alegrete;242;188;54;
;186121404: Fortios;90;69;21;
;186121411: União das freguesias da Sé e São Lourenço;184;139;45;
;186121412: União das freguesias de Reguengo e São Julião;210;146;64;
;186121413: União das freguesias de Ribeira de Nisa e Carreiras;202;148;54;
;186121410: Urra;164;107;57;
;186121501: Cano;75;50;25;
;186121502: Casa Branca;106;74;32;
;186121503: Santo Amaro;36;25;11;
;186121504: Sousel;162;112;50;
;187070104: Capelins (Santo António);123;77;46;
;187070103: Santiago Maior;308;219;89;
;187070105: Terena (São Pedro);107;82;25;
;187070107: União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);191;131;60;
;187070201: Arraiolos;78;65;13;
;187070202: Igrejinha;33;29;4;
;187070208: União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;35;26;9;
;187070209: União das freguesias de São Gregório e Santa Justa;48;36;12;
;187070206: Vimieiro;119;90;29;
;187070301: Borba (Matriz);230;179;51;
;187070304: Borba (São Bartolomeu);2;2;- -;
;187070302: Orada;55;42;13;
;187070303: Rio de Moinhos;119;84;35;
;187070401: Arcos;123;89;34;
;187070404: Évora Monte (Santa Maria);59;43;16;
;187070402: Glória;83;64;19;
;187070411: São Domingos de Ana Loura;27;23;4;
;187070414: União das freguesias de Estremoz (Santa Maria e Santo André);232;175;57;
;187070415: União das freguesias de São Bento do Cortiço e Santo Estêvão;130;104;26;
;187070416: União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura;42;27;15;
;187070417: União das freguesias do Ameixial (Santa Vitória e São Bento);96;60;36;
;187070413: Veiros;45;32;13;
;187070515: Canaviais;67;50;17;
;187070502: Nossa Senhora da Graça do Divor;28;21;7;
;187070503: Nossa Senhora de Machede;164;123;41;
;187070506: São Bento do Mato;45;36;9;
;187070509: São Miguel de Machede;54;39;15;
;187070513: Torre de Coelheiros;33;28;5;
;187070522: União das freguesias de Bacelo e Senhora da Saúde;136;102;34;
;187070523: União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão);8;5;3;
;187070524: União das freguesias de Malagueira e Horta das Figueiras;83;63;20;
;187070525: União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;55;41;14;
;187070526: União das freguesias de São Manços e São Vicente do Pigeiro;208;154;54;
;187070527: União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé;29;23;6;
;187070601: Cabrela;43;33;10;
;187070607: Ciborro;15;12;3;
;187070610: Foros de Vale de Figueira;52;40;12;
;187070605: Santiago do Escoural;58;45;13;
;187070606: São Cristóvão;69;50;19;
;187070611: União das freguesias de Cortiçadas de Lavre e Lavre;120;81;39;
;187070612: União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;355;284;71;
;187070701: Brotas;16;12;4;
;187070702: Cabeção;51;39;12;
;187070703: Mora;40;29;11;
;187070704: Pavia;127;89;38;
;187070801: Granja;63;47;16;
;187070802: Luz;60;46;14;
;187070803: Mourão;209;156;53;
;187070903: Monte do Trigo;87;67;20;
;187070905: Portel;223;165;58;
;187070906: Santana;86;56;30;
;187070909: União das freguesias de Amieira e Alqueva;104;74;30;
;187070910: União das freguesias de São Bartolomeu do Outeiro e Oriola;70;41;29;
;187070908: Vera Cruz;49;32;17;
;187071001: Montoito;124;77;47;
;187071002: Redondo;415;305;110;
;187071102: Corval;194;145;49;
;187071103: Monsaraz;146;109;37;
;187071104: Reguengos de Monsaraz;279;212;67;
;187071106: União das freguesias de Campo e Campinho;104;68;36;
;187071202: Landeira;14;9;5;
;187071201: Vendas Novas;138;106;32;
;187071303: Aguiar;12;11;1;
;187071301: Alcáçovas;110;84;26;
;187071302: Viana do Alentejo;123;87;36;
;187071401: Bencatel;19;14;5;
;187071402: Ciladas;44;34;10;
;187071406: Nossa Senhora da Conceição e São Bartolomeu;115;90;25;
;187071404: Pardais;35;23;12;

Produtores agrícolas singulares (N.º) por Localização geográfica (NUTS - 2013), Sexo, Grupo etário e Natureza jurídica -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Produtores agrícolas singulares (N.º)
Designação;Produtores agrícolas singulares (N.º) por Localização geográfica (NUTS - 2013), Sexo, Grupo etário e Natureza jurídica -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Natureza jurídica
Conceitos
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
     PRODUTOR AGRÍCOLA SINGULAR;Produtor agrícola enquanto pessoa física, englobando o produtor autónomo e o produtor empresário. Excluem-se as entidades coletivas tais como: sociedades, cooperativas, Estado, etc.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-Mar-2021
