
Quadro extraído em 29 de Junho de 2026 (13:33:43)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Produtores agrícolas singulares com 65 e mais anos de idade (N.º) por Localização geográfica (NUTS - 2013) -  Decenal (1) ;
184020605: São Marcos da Ataboeira;12;
184020606: União das freguesias de Castro Verde e Casével;91;
184020701: Cuba;58;
184020702: Faro do Alentejo;17;
184020703: Vila Alva;46;
184020704: Vila Ruiva;35;
184020803: Figueira dos Cavaleiros;27;
184020804: Odivelas;11;
184020807: União das freguesias de Alfundão e Peroguarda;36;
184020808: União das freguesias de Ferreira do Alentejo e Canhestros;152;
184020901: Alcaria Ruiva;38;
184020902: Corte do Pinto;10;
184020903: Espírito Santo;48;
184020904: Mértola;68;
184020905: Santana de Cambas;40;
184020906: São João dos Caldeireiros;24;
184020910: União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;82;
184021001: Amareleja;169;
184021002: Póvoa de São Miguel;119;
184021008: Sobral da Adiça;99;
184021009: União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;209;
184021010: União das freguesias de Safara e Santo Aleixo da Restauração;126;
184021203: Ourique;88;
184021206: Santana da Serra;142;
184021207: União das freguesias de Garvão e Santa Luzia;37;
184021208: União das freguesias de Panoias e Conceição;29;
184021302: Brinches;88;
184021303: Pias;174;
184021308: União das freguesias de Serpa (Salvador e Santa Maria);152;
184021309: União das freguesias de Vila Nova de São Bento e Vale de Vargo;297;
184021307: Vila Verde de Ficalho;122;
184021401: Pedrógão;40;
184021402: Selmes;50;
184021403: Vidigueira;80;
184021404: Vila de Frades;58;
185140301: Almeirim;100;
185140302: Benfica do Ribatejo;109;
185140303: Fazendas de Almeirim;150;
185140304: Raposa;6;
185140401: Alpiarça;125;
185110301: Alcoentre;43;
185110302: Aveiras de Baixo;18;
185110303: Aveiras de Cima;120;
185110304: Azambuja;34;
185110310: União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;95;
185110306: Vale do Paraíso;16;
185110307: Vila Nova da Rainha;2;
185140504: Barrosa;7;
185140501: Benavente;71;
185140502: Samora Correia;41;
185140503: Santo Estêvão;16;
185140604: Pontével;62;
185140610: União das freguesias de Ereira e Lapa;52;
185140609: União das freguesias do Cartaxo e Vale da Pinta;32;
185140605: Valada;9;
185140608: Vale da Pedra;11;
185140607: Vila Chã de Ourique;38;
185140707: Carregueira;30;
185140704: Ulme;19;
185140708: União das freguesias da Chamusca e Pinheiro Grande;38;
185140709: União das freguesias de Parreira e Chouto;56;
185140705: Vale de Cavalos;21;
185140907: Biscainho;21;
185140905: Branca;71;
185140902: Couço;50;
185140908: Santana do Mato;39;
185140903: São José da Lamarosa;96;
185140909: União das freguesias de Coruche, Fajarda e Erra;152;
185141201: Azinhaga;24;
185141202: Golegã;41;
185141203: Pombalinho;3;
185141401: Alcobertas;52;
185141402: Arrouquelas;28;
185141410: Asseiceira;11;
185141405: Fráguas;39;
185141408: Rio Maior;84;
185141411: São Sebastião;35;
185141415: União das freguesias de Azambujeira e Malaqueijo;41;
185141416: União das freguesias de Marmeleira e Assentiz;23;
185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;50;
185141418: União das freguesias de São João da Ribeira e Ribeira de São João;33;
185141502: Marinhais;55;
185141503: Muge;13;
185141507: União das freguesias de Glória do Ribatejo e Granho;73;
185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;95;
185141601: Abitureiras;67;
185141602: Abrã;38;
185141604: Alcanede;200;
185141605: Alcanhões;27;
185141606: Almoster;102;
185141607: Amiais de Baixo;10;
185141608: Arneiro das Milhariças;34;
185141628: Gançaria;23;
185141613: Moçarria;67;
185141614: Pernes;31;
185141616: Póvoa da Isenta;38;
185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;158;
185141630: União das freguesias de Azoia de Cima e Tremês;136;
185141631: União das freguesias de Casével e Vaqueiros;105;
185141632: União das freguesias de Romeira e Várzea;105;
185141633: União de freguesias da cidade de Santarém;68;
185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;153;
185141625: Vale de Santarém;41;
186120101: Alter do Chão;49;
186120102: Chancelaria;24;
186120104: Cunheira;9;
186120103: Seda;26;
186120201: Assunção;45;
186120202: Esperança;83;
186120203: Mosteiros;31;
186120302: Aldeia Velha;23;
186120303: Avis;31;
186120305: Ervedal;23;
186120306: Figueira e Barros;13;
186120309: União das freguesias de Alcórrego e Maranhão;27;
186120310: União das freguesias de Benavila e Valongo;39;
186120401: Nossa Senhora da Expectação;132;
186120402: Nossa Senhora da Graça dos Degolados;9;
186120403: São João Baptista;104;
186120501: Nossa Senhora da Graça de Póvoa e Meadas;36;
186120502: Santa Maria da Devesa;67;
186120503: Santiago Maior;41;
186120504: São João Baptista;33;
186120601: Aldeia da Mata;27;
186120604: Gáfete;48;
186120605: Monte da Pedra;23;
186120607: União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;64;
186120712: Assunção, Ajuda, Salvador e Santo Ildefonso;48;
186120713: Caia, São Pedro e Alcáçova;54;
186120706: Santa Eulália;16;
186120707: São Brás e São Lourenço;73;
186120708: São Vicente e Ventosa;16;
186120714: União das freguesias de Barbacena e Vila Fernando;43;
186120715: União das freguesias de Terrugem e Vila Boim;75;
186120801: Cabeço de Vide;32;
186120802: Fronteira;65;
186120803: São Saturnino;16;
186120902: Belver;183;
186120903: Comenda;31;
186120905: Margem;35;
186120906: União das freguesias de Gavião e Atalaia;58;
186121001: Beirã;54;
186121002: Santa Maria de Marvão;70;
186121003: Santo António das Areias;52;
186121004: São Salvador da Aramenha;105;
186121101: Assumar;7;
186121102: Monforte;30;
186121103: Santo Aleixo;15;
186121104: Vaiamonte;23;
186121201: Alpalhão;42;
186121205: Montalvão;82;
186121207: Santana;59;
186121208: São Matias;47;
186121210: Tolosa;88;
186121211: União das freguesias de Arez e Amieira do Tejo;90;
186121212: União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;223;
186121304: Foros de Arrão;34;
186121301: Galveias;79;
186121305: Longomel;50;
186121302: Montargil;133;
186121308: União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;288;
186121401: Alagoa;19;
186121402: Alegrete;156;
186121404: Fortios;49;
186121411: União das freguesias da Sé e São Lourenço;108;
186121412: União das freguesias de Reguengo e São Julião;127;
186121413: União das freguesias de Ribeira de Nisa e Carreiras;117;
186121410: Urra;86;
186121501: Cano;38;
186121502: Casa Branca;59;
186121503: Santo Amaro;15;
186121504: Sousel;81;
187070104: Capelins (Santo António);73;
187070103: Santiago Maior;164;
187070105: Terena (São Pedro);48;
187070107: União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);101;
187070201: Arraiolos;30;
187070202: Igrejinha;15;
187070208: União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;16;
187070209: União das freguesias de São Gregório e Santa Justa;20;
187070206: Vimieiro;53;
187070301: Borba (Matriz);139;
187070304: Borba (São Bartolomeu);1;
187070302: Orada;33;
187070303: Rio de Moinhos;67;
187070401: Arcos;76;
187070404: Évora Monte (Santa Maria);32;
187070402: Glória;39;
187070411: São Domingos de Ana Loura;10;
187070414: União das freguesias de Estremoz (Santa Maria e Santo André);135;
187070415: União das freguesias de São Bento do Cortiço e Santo Estêvão;58;
187070416: União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura;20;
187070417: União das freguesias do Ameixial (Santa Vitória e São Bento);53;
187070413: Veiros;23;
187070515: Canaviais;34;
187070502: Nossa Senhora da Graça do Divor;12;
187070503: Nossa Senhora de Machede;81;
187070506: São Bento do Mato;19;
187070509: São Miguel de Machede;39;
187070513: Torre de Coelheiros;11;
187070522: União das freguesias de Bacelo e Senhora da Saúde;74;
187070523: União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão);4;
187070524: União das freguesias de Malagueira e Horta das Figueiras;44;
187070525: União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;19;
187070526: União das freguesias de São Manços e São Vicente do Pigeiro;107;
187070527: União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé;9;
187070601: Cabrela;21;
187070607: Ciborro;8;
187070610: Foros de Vale de Figueira;31;
187070605: Santiago do Escoural;23;
187070606: São Cristóvão;24;
187070611: União das freguesias de Cortiçadas de Lavre e Lavre;58;
187070612: União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;176;
187070701: Brotas;8;
187070702: Cabeção;28;
187070703: Mora;15;
187070704: Pavia;86;
187070801: Granja;23;
187070802: Luz;37;
187070803: Mourão;109;
187070903: Monte do Trigo;42;
187070905: Portel;122;
187070906: Santana;35;
187070909: União das freguesias de Amieira e Alqueva;70;
187070910: União das freguesias de São Bartolomeu do Outeiro e Oriola;37;
187070908: Vera Cruz;26;
187071001: Montoito;78;
187071002: Redondo;222;
187071102: Corval;100;
187071103: Monsaraz;79;
187071104: Reguengos de Monsaraz;134;
187071106: União das freguesias de Campo e Campinho;59;
187071202: Landeira;11;
187071201: Vendas Novas;86;
187071303: Aguiar;4;
187071301: Alcáçovas;42;
187071302: Viana do Alentejo;59;
187071401: Bencatel;11;
187071402: Ciladas;13;
187071406: Nossa Senhora da Conceição e São Bartolomeu;63;
187071404: Pardais;20;

Produtores agrícolas singulares com 65 e mais anos de idade (N.º) por Localização geográfica (NUTS - 2013) -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Produtores agrícolas singulares com 65 e mais anos de idade (N.º)
Designação;Produtores agrícolas singulares com 65 e mais anos de idade (N.º) por Localização geográfica (NUTS - 2013) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     PRODUTOR AGRÍCOLA SINGULAR;Produtor agrícola enquanto pessoa física, englobando o produtor autónomo e o produtor empresário. Excluem-se as entidades coletivas tais como: sociedades, cooperativas, Estado, etc.
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;31-Mar-2021
